"time","symbol","price","float","volume","relative","change","strategy"
"02:42:01  03-13-2020","NNA","4,52","13.124.300","1.297,5","9,87","37,4","High Momo"
"02:41:39  03-13-2020","NNA","4,49","13.124.300","1.771,4","9,37","36,5","High Momo"
"02:41:12  03-13-2020","NNA","4,39","13.124.300","1.680,9","9,40","33,4","High Momo"
"02:41:12  03-13-2020","NNA","4,34","13.124.300","1.668,7","9,36","31,9","High Momo"
"02:41:07  03-13-2020","NNA","4,30","13.124.300","1.632,1","9,29","30,7","High Momo"
"02:40:40  03-13-2020","NNA","4,25","13.124.300","1.453,1","8,97","29,2","High Momo"
"02:39:40  03-13-2020","SOL","1,03","15.157.000","1.841,7","6,65","7,3","High Momo"
"02:39:40  03-13-2020","SOL","1,02","15.157.000","1.503,9","5,66","6,3","High Momo"
"02:38:05  03-13-2020","SOL","1,02","15.157.000","1.358,6","6,26","5,7","High Momo"
"02:35:42  03-13-2020","SOHON","9,34","11.062.800","1.128,6","25,42","47,7","High Momo"
"02:35:30  03-13-2020","VAPO","10,43","11.511.000","1.159,3","91,18","8,5","High Momo"
"02:35:27  03-13-2020","GTEC","2,59","116.840","1.025,5","20,75","2,0","High Momo"
"02:35:09  03-13-2020","KZIA","3,90","6.123.890","3.422,4","31,79","4,3","High Momo"
"02:34:56  03-13-2020","METC","2,43","9.108.240","1.108,3","16,42","15,2","High Momo"
"02:34:09  03-13-2020","VAPO","10,35","11.511.000","1.533,1","113,12","7,6","High Momo"
"02:34:09  03-13-2020","VAPO","10,28","11.511.000","1.531,1","112,96","6,9","High Momo"
"02:34:05  03-13-2020","VAPO","10,20","11.511.000","1.522,1","114,14","6,0","High Momo"
"02:33:34  03-13-2020","ATIF","1,90","9.424.670","1.050,4","23,42","1,1","High Momo"
"02:33:10  03-13-2020","LOOP","8,28","15.193.000","1.255,0","13,49","12,7","High Momo"
"02:32:56  03-13-2020","IDXG","7,11","436.115","1.183,7","18,16","13,6","High Momo"
"02:32:17  03-13-2020","INMB","3,46","4.727.620","1.024,3","123,79","2,7","High Momo"
"02:30:05  03-13-2020","CLRB","1,77","5.010.440","1.282,6","350,15","5,4","High Momo"
"02:30:03  03-13-2020","FRHC","14,57","15.476.700","1.678,5","1.232,71","5,7","High Momo"
"02:30:03  03-13-2020","FRHC","14,52","15.476.700","1.668,2","1.227,82","5,4","High Momo"
"02:30:01  03-13-2020","AQST","2,05","11.168.900","1.070,4","2.220,11","6,8","High Momo"
"02:30:01  03-13-2020","AREC","1,11","12.110.900","1.163,5","7.328,91","11,0","High Momo"
"02:30:01  03-13-2020","AREC","1,06","12.110.900","1.108,8","6.996,74","6,0","High Momo"
"02:30:00  03-13-2020","XONE","4,70","11.137.100","1.087,8","999.999,00","5,1","High Momo"
